"name","signal","registration","country","category","length","port","mmsi"
"ARBUMASA XIX","","0218","Argentina","ALTURA,PROC.CONGELADOR",36.4,"",NA
"ARBUMASA XV","","0214","Argentina","ALTURA,PROC.CONGELADOR",36.4,"",NA
"ARBUMASA XVI","","0215","Argentina","ALTURA,PROC.CONGELADOR",36.4,"",701000662
"ARBUMASA XVII","","0216","Argentina","ALTURA,PROC.CONGELADOR",36.4,"",NA
"ARBUMASA XVIII","","0217","Argentina","ALTURA,PROC.CONGELADOR",36.4,"",701006034
"ARBUMASA XXIX","","02561","Argentina","ALTURA,PROC.CONGELADOR",65.6,"",NA
"ARBUMASA XXVI","","01958","Argentina","ALTURA,PROC.CONGELADOR",62.8,"",701000852
"ARBUMASA XXVII","","02057","Argentina","ALTURA,PROC.CONGELADOR",64.21,"",701000517
"ARBUMASA XXVIII","","02569","Argentina","ALTURA,PROC.CONGELADOR",64.4,"",NA
"ARESIT","","02265","Argentina","ALTURA,PROC.CONGELADOR",36.26,"",701000553
"ARGENOVA I","","02180","Argentina","ALTURA,PROC.CONGELADOR",35,"",701000686
"ARGENOVA II","","02177","Argentina","ALTURA,PROC.CONGELADOR",38.5,"",701000546
"ARGENOVA III","","02156","Argentina","ALTURA,PROC.CONGELADOR",36.3,"",701000550
"ARGENOVA IV","","02157","Argentina","ALTURA,PROC.CONGELADOR",36.26,"",NA
"ARGENOVA IX","","02328","Argentina","ALTURA,PROC.CONGELADOR",32.5,"",NA
"ARGENOVA VI","","02179","Argentina","ALTURA,PROC.CONGELADOR",35,"",NA
"ARGENOVA X","","02329","Argentina","ALTURA,PROC.CONGELADOR",32.5,"",NA
"ARGENOVA XI","","02199","Argentina","ALTURA,PROC.CONGELADOR",45.2,"",NA
"ARGENOVA XII","","0199","Argentina","ALTURA,PROC.CONGELADOR",47.09,"",NA
"ARGENOVA XIV","","0197","Argentina","ALTURA,PROC.CONGELADOR",52.3,"",NA
"ARGENOVA XXI","","02661","Argentina","ALTURA,PROC.CONGELADOR",55.8,"",NA
"ARGENOVA XXII","","02714","Argentina","ALTURA,PROC.CONGELADOR",37.7,"",NA
"ARGENOVA XXIII","","02713","Argentina","ALTURA,PROC.CONGELADOR",37.19,"",NA
"ARGENOVA XXIV","","02752","Argentina","ALTURA,PROC.CONGELADOR",38.8,"",NA
"ARGENOVA XXV","","02811","Argentina","ALTURA,PROC.CONGELADOR",39.7,"",701006471
"ARGENOVA XXVI","","02849","Argentina","ALTURA,PROC.CONGELADOR",37.15,"",701100000
"ARGENTINO","","0142","Argentina","ALTURA, FRESQUERO",33.77,"",NA
"ARRUFO","","0540","Argentina","ALTURA, FRESQUERO",39.16,"",NA
"ARTHUR SEIF","","MVDEO-8617","Uruguay","C",22.15,"Montevideo",NA
"ASUDEPES II","","0114","Argentina","ALTURA,PROC.CONGELADOR",54.77,"",NA
"ATLANTIC BEATRICE","","MVDEO-7953","Uruguay","A",46.23,"Montevideo",770576065
"ATLANTIC EXPRESS","","02936","Argentina","ALTURA,PROC.CONGELADOR",53.7,"",770576342
"ATLANTIC JANE","","MVDEO-7896","Uruguay","A",46.23,"Montevideo",770576200
"ATLANTIC MARGARET","","MVDEO-7895","Uruguay","A",46.23,"Montevideo",770576174
"ATLANTIC RUTHANN","","MVDEO-7894","Uruguay","A",46.23,"Montevideo",NA
"ATLANTIC SURF III","","02030","Argentina","ALTURA,PROC.CONGELADOR",49.6,"",701024000
"ATREVIDO","","0145","Argentina","ALTURA, FRESQUERO",32.5,"",701006040
"AURORA","","02581","Argentina","ALTURA,PROC.CONGELADOR",67.55,"",NA
"BADARO","","MVDEO-8625","Uruguay","",49.9,"Montevideo",NA
"BAFFETTA","","02635","Argentina","COSTEROS, FRESQUERO",19.45,"",NA
"BAHIA DESVELOS","","0665","Argentina","ALTURA,PROC.CONGELADOR",37.05,"",701006005
"BAHIA ENGAÑO","","0561","Argentina","RADA O RIA, FRESQUERO",17.3,"",NA
"BEAGLE I","","01842","Argentina","ALTURA,PROC.CONGELADOR",59.9,"",NA
"BELVEDERE","","01398","Argentina","ALTURA, FRESQUERO",26.5,"",NA
"BESUGO I","","MVDEO-7635","Uruguay","B",19.62,"Montevideo",770576159
"BESUGO II","","MVDEO-7636","Uruguay","B",19.62,"Montevideo",NA
"BETTY","","0952","Argentina","RADA O RIA, FRESQUERO",15.3,"",NA
"BOGAVANTE SEGUNDO","","02994","Argentina","ALTURA,PROC.CONGELADOR",37.45,"",NA
"BONFIGLIO","","01234","Argentina","COSTEROS, FRESQUERO",21.05,"",NA
"BORRASCA","","01095","Argentina","ALTURA,PROC.CONGELADOR",39.16,"",701006084
"BOUCIÑA","","01637","Argentina","ALTURA,PROC.CONGELADOR",41.5,"",NA
"BUENA PESCA","","01475","Argentina","ALTURA, FRESQUERO",39.1,"",NA
"CABO BUENA ESPERANZA","","02482","Argentina","ALTURA, FRESQUERO",48.1,"",NA
"CABO BUEN TIEMPO","","025","Argentina","ALTURA, FRESQUERO",41.6,"",NA
"CABO DE HORNOS","","01537","Argentina","ALTURA, FRESQUERO",25,"",701000004
"CABO DOS BAHIAS","","02483","Argentina","ALTURA, FRESQUERO",48.1,"",NA
"CABO SAN JUAN","","023","Argentina","ALTURA, FRESQUERO",41.6,"",NA
"CABO SAN SEBASTIAN","","022","Argentina","ALTURA, FRESQUERO",41.6,"",NA
"CABO TRES PUNTAS","","01483","Argentina","ALTURA, FRESQUERO",31.43,"",NA
"CABO VIRGENES","","024","Argentina","ALTURA, FRESQUERO",41.6,"",NA
"CACIQUE","","MVDEO-7943","Uruguay","B",22.27,"Montevideo",770576103
"CALABRIA","","0567","Argentina","COSTEROS, FRESQUERO",19.63,"",NA
"CALETA PAULA","","02355","Argentina","COSTEROS, FRESQUERO",15.3,"",NA
"CALIZ","","02809","Argentina","COSTEROS, FRESQUERO",20.2,"",NA
"CALLEJA","","01566","Argentina","COSTEROS, FRESQUERO",21.83,"",NA
"CALON I","","MVDEO-5708","Uruguay","B",18.63,"Montevideo",NA
"CALON II","","MVDEO-5709","Uruguay","B",18.63,"Montevideo",770576149
"CAMERIGE","","01406","Argentina","ALTURA, FRESQUERO",27.9,"",NA
"CAMILO II","","0776","Argentina","RADA O RIA, FRESQUERO",14.2,"",NA
"CANAL DE BEAGLE","","0407","Argentina","COSTEROS, FRESQUERO",23.9,"",NA
"CAPESANTE","","02929","Argentina","ALTURA,PROC.CONGELADOR",50.15,"",NA
"CAPITAN GIACHINO","","0151","Argentina","ALTURA,PROC.CONGELADOR",38.42,"",701000668
"CARLO BUTTI","","01970","Argentina","RADA O RIA, FRESQUERO",12.9,"",NA
"CARLOS I","","01014","Argentina","RADA O RIA, FRESQUERO",17.4,"",NA
"CARMELO A","","0405","Argentina","COSTEROS, FRESQUERO",21.83,"",NA
"CARMEN A","","02045","Argentina","COSTEROS, FRESQUERO",15.3,"",NA
"CAROLINA P","","0176","Argentina","ALTURA,PROC.CONGELADOR",71.6,"",NA
"CEFERINO NAMUNCURA","","01608","Argentina","RADA O RIA, FRESQUERO",14.79,"",NA
"CEIBE DOUS","","0336","Argentina","ALTURA,PROC.CONGELADOR",40.7,"",NA
"CENTAURO 2000","","0482","Argentina","ALTURA, FRESQUERO",35.5,"",701019000
"CENTAURO I","","01177","Argentina","RADA O RIA, FRESQUERO",13.1,"",NA
"CENTURION DEL ATLANTICO","","0237","Argentina","ALTURA,PROC.FACTORIA",112.8,"",701027000
"CERES","","01420","Argentina","ALTURA,PROC.CONGELADOR",60.74,"",701000735
"CETUS","","0530","Argentina","ALTURA,PROC.CONGELADOR",59.55,"",NA
"CHATKA I","","02893","Argentina","COSTEROS, FRESQUERO",16.73,"",NA
"CHIARPESCA 56","","01090","Argentina","ALTURA, FRESQUERO",38.3,"",701000778
"CHIARPESCA 902","","02110","Argentina","ALTURA,PROC.CONGELADOR",59.3,"",NA
"CHIARPESCA 903","","02109","Argentina","ALTURA,PROC.CONGELADOR",64.1,"",701000884
"CHOKYU MARU Nº 18.","","02584","Argentina","ALTURA,PROC.CONGELADOR",68.7,"",NA
"CHUBASCO","","01184","Argentina","COSTEROS, FRESQUERO",19.95,"",NA
"CIUDAD DE DIAMANTE","","0527","Argentina","COSTEROS, FRESQUERO",17.45,"",NA
"CIUDAD DE HUELVA","","01519","Argentina","ALTURA, FRESQUERO",27.45,"",NA
"CIUDAD FELIZ","","0910","Argentina","ALTURA, FRESQUERO",28.56,"",NA
"CLAUDINA","","02345","Argentina","ALTURA,PROC.CONGELADOR",53.58,"",NA
"COALSA SEGUNDO","","0790","Argentina","ALTURA,PROC.CONGELADOR",76.2,"",NA
"CODEPECA III","","0506","Argentina","ALTURA,PROC.CONGELADOR",36.81,"",NA
"CODEPECA IV","","01012","Argentina","ALTURA,PROC.CONGELADOR",36.85,"",NA
"COMANDANTE LUIS PIEDRABUENA","","0767","Argentina","ALTURA, FRESQUERO",25,"",NA
"CONARA I","","0201","Argentina","ALTURA,PROC.CONGELADOR",38.67,"",NA
"CONARPESA I","","0200","Argentina","ALTURA,PROC.CONGELADOR",52.5,"",NA
"CONAVAL II","","01180","Argentina","RADA O RIA, FRESQUERO",12.42,"",NA
"CONSTANCIA","","0971","Argentina","COSTEROS, FRESQUERO",21.22,"",NA
"CONTE VIANCAMANO","","0341M","Argentina","RADA O RIA, FRESQUERO",9.8,"",NA
"COPAMAR","","MVDEO-7799","Uruguay","B",20.9,"Montevideo",770576114
"CORAJE","","0645","Argentina","ALTURA, FRESQUERO",28.28,"",NA
"CORAL","","MVDEO-8056","Uruguay","A",58.42,"Montevideo",770576062
"CORAL BLANCO","","0409","Argentina","ALTURA,PROC.CONGELADOR",50.75,"",NA
"CRISTINA ANTONIA","","01824","Argentina","RADA O RIA, FRESQUERO",13.04,"",NA
"CRISTO REDENTOR","","01185","Argentina","ALTURA, FRESQUERO",31,"",NA
"CRISTO REY","","0931","Argentina","RADA O RIA, FRESQUERO",14.37,"",NA
"DANNY","","0520","Argentina","RADA O RIA, FRESQUERO",11.89,"",NA
"DARTESA I","","MVDEO-5381","Uruguay","B",25.5,"Montevideo",NA
"DARTESA II","","MVDEO-5382","Uruguay","B",20.25,"Montevideo",770576185
"DARTESA III","","MVDEO-5668","Uruguay","B",21.7,"Montevideo",770576182
"DARTESA III","","MVDEO-5668","Uruguay","B",21.7,"Montevideo",5668
"DASA 508","","0499","Argentina","ALTURA,PROC.CONGELADOR",52.8,"",701000754
"DASA 757","","02200","Argentina","ALTURA,PROC.CONGELADOR",52.7,"",701000942
"DEPASUR I","","0330","Argentina","ALTURA,PROC.CONGELADOR",53.12,"",701006069
"DESAFIO","","0177","Argentina","ALTURA, FRESQUERO",29.56,"",701006020
"DESAFIO","","0177","Argentina","ALTURA, FRESQUERO",29.56,"",755991086
"DESEADO","","01598","Argentina","COSTEROS, FRESQUERO",19,"",NA
"DIEGO FERNANDO","","02416","Argentina","COSTEROS, FRESQUERO",17.95,"",NA
"DOCK URANO","","01700","Argentina","COSTEROS, FRESQUERO",17.02,"",NA
"DOCTOR JUAN JOSE TRAVERSONI","","030","Argentina","RADA O RIA, FRESQUERO",12,"",NA
"DON AGUSTIN","","0968","Argentina","ALTURA, FRESQUERO",25.6,"",NA
"DON ANTONIO","","029","Argentina","ALTURA, FRESQUERO",27.8,"",701006049
"DON BOCHA","","02921","Argentina","COSTEROS, FRESQUERO",17.98,"",NA
"DON CARLOS I","","02358","Argentina","COSTEROS, FRESQUERO",12.65,"",NA
"DON CARMELO","","01320","Argentina","COSTEROS, FRESQUERO",19.04,"",NA
"DON CAYETANO","","0579","Argentina","ALTURA, FRESQUERO",44.1,"",701000794
"DON CAYETANO","","0579","Argentina","ALTURA, FRESQUERO",44.1,"",7010029
"DON DARIO","","0976","Argentina","COSTEROS, FRESQUERO",15.4,"",NA
"DON DOMINGO","","0319","Argentina","RADA O RIA, FRESQUERO",18.2,"",NA
"DON ESCIPION","","02322","Argentina","COSTEROS, FRESQUERO",23.6,"",NA
"DON FRANCISCO I","","02562","Argentina","ALTURA,PROC.CONGELADOR",66.55,"",701006147
"DON FRANCO","","02955","Argentina","COSTEROS, FRESQUERO",19.94,"",NA
"DON GAETANO","","071","Argentina","ALTURA, FRESQUERO",32.1,"",NA
"DON GIULIANO","","02025","Argentina","COSTEROS, FRESQUERO",17.1,"",NA
"DON JOSE","","0892","Argentina","COSTEROS, FRESQUERO",16.49,"",NA
"DON JOSE DI BONA","","02241","Argentina","COSTEROS, FRESQUERO",19.85,"",NA
"DON JUAN.","","01397","Argentina","ALTURA, FRESQUERO",27,"",NA
"DON JUAN D'AMBRA","","01884","Argentina","ALTURA, FRESQUERO",58.75,"",NA
"DON LUCIANO","","069","Argentina","ALTURA, FRESQUERO",48.62,"",701000808
"DON LUIS I","","02093","Argentina","ALTURA,PROC.CONGELADOR",67.95,"",701000940
"DON MARIO","","01400","Argentina","RADA O RIA, FRESQUERO",16.5,"",NA
"DON MIGUEL I","","0748","Argentina","ALTURA, FRESQUERO",26.6,"",NA
"DON NATALIO","","01183","Argentina","ALTURA, FRESQUERO",36,"",NA
"DON NICOLA","","0893","Argentina","ALTURA, FRESQUERO",28.14,"",701038000
"DON NINO","","0923","Argentina","RADA O RIA, FRESQUERO",15,"",NA
"DON OSCAR","","02184","Argentina","COSTEROS, FRESQUERO",16.25,"",NA
"DON PABLO PENNISI","","0960","Argentina","RADA O RIA, FRESQUERO",13.08,"",NA
"DON PEDRO.","","068","Argentina","ALTURA,PROC.CONGELADOR",73.6,"",NA
"DON RAIMUNDO","","01431","Argentina","ALTURA, FRESQUERO",25.6,"",NA
"DON RAUL","","02609","Argentina","COSTEROS, FRESQUERO",12.25,"",NA
"DON SALVADOR","","02700","Argentina","COSTEROS, FRESQUERO",12.9,"",NA
"DON SANTIAGO","","01733","Argentina","ALTURA, FRESQUERO",26.55,"",701000818
"DON SANTIAGO","","01733","Argentina","ALTURA, FRESQUERO",26.55,"",770576309
"DON TOMASSO","","02310","Argentina","COSTEROS, FRESQUERO",17,"",NA
"DON TURI","","01540","Argentina","ALTURA, FRESQUERO",26,"",701006028
"DON VICENTE VUOSO","","0539","Argentina","COSTEROS, FRESQUERO",20.69,"",701000822
"DOÑA ALFIA","","0512","Argentina","COSTEROS, FRESQUERO",20.7,"",NA
"DOÑA MANUELA","","0694","Argentina","RADA O RIA, FRESQUERO",15.05,"",NA
"DOY GRACIAS A DIOS","","0222","Argentina","RADA O RIA, FRESQUERO",15.45,"",NA
"DR. CARLOS OTTOLENGHI","","02188","Argentina","COSTEROS, FRESQUERO",16.4,"",NA
"DUE FRATELLI","","01503","Argentina","RADA O RIA, FRESQUERO",13.91,"",NA
"DUKAT","","02775","Argentina","ALTURA,PROC.CONGELADOR",50.8,"",701006427
"ECHIZEN MARU","","0326","Argentina","ALTURA,PROC.FACTORIA",89.59,"",701068000
"EL BARBA NEGRA","","02847","Argentina","COSTEROS, FRESQUERO",16.55,"",NA
"EL FARO","","01117","Argentina","COSTEROS, FRESQUERO",22.27,"",NA
"EL GAUCHITO","","02421","Argentina","COSTEROS, FRESQUERO",15,"",NA
"EL MALO I","","02350","Argentina","COSTEROS, FRESQUERO",15.3,"",NA
"EL MARISCO I","","0912","Argentina","ALTURA, FRESQUERO",27.22,"",NA
"EL MARISCO II","","0915","Argentina","ALTURA, FRESQUERO",56.3,"",701007040
"EL PRINCIPE AZUL","","0906","Argentina","RADA O RIA, FRESQUERO",13.25,"",NA
"EL SANTO","","01526","Argentina","COSTEROS, FRESQUERO",24.95,"",NA
"EL TEHUELCHE","","02565","Argentina","COSTEROS, FRESQUERO",17.4,"",NA
"EL VENCEDOR","","02619","Argentina","RADA O RIA, FRESQUERO",14.5,"",NA
"EMILIA MARIA","","01390","Argentina","COSTEROS, FRESQUERO",22.6,"",NA
"EMPERADOR","","MVDEO-7867","Uruguay","B",21.17,"Montevideo",770576131
"EMPESUR I","","01437","Argentina","ALTURA,PROC.CONGELADOR",31,"",701000642
"EMPESUR II","","01439","Argentina","ALTURA,PROC.CONGELADOR",31,"",NA
"EMPESUR III","","01438","Argentina","ALTURA,PROC.CONGELADOR",31,"",NA
"EMPESUR IV","","01440","Argentina","ALTURA,PROC.CONGELADOR",32.05,"",701000840
"EMPESUR V","","02650","Argentina","ALTURA,PROC.CONGELADOR",30.52,"",701006204
"EMPESUR VI","","02983","Argentina","ALTURA,PROC.CONGELADOR",35.03,"",NA
"EMPESUR VII","","02122","Argentina","",35.03,"",NA
"ENRIQUE F","","02360","Argentina","COSTEROS, FRESQUERO",16.9,"",NA
"ENTRENA DOS","","02070","Argentina","ALTURA,PROC.CONGELADOR",33.1,"",701078000
"ENTRENA UNO","","02069","Argentina","ALTURA,PROC.CONGELADOR",33.1,"",701079000
"ERIN BRUCE","","0537","Argentina","ALTURA,PROC.CONGELADOR",53.6,"",NA
"ESAMAR Nº 4","","0467","Argentina","ALTURA,PROC.CONGELADOR",54.8,"",NA
"ESPADARTE","","02048","Argentina","ALTURA,PROC.CONGELADOR",68.2,"",701000878
"ESPARTACO","","MVDEO-7653","Uruguay","B",20.5,"Montevideo",770576111
"ESPERANZA 909","","02577","Argentina","ALTURA,PROC.CONGELADOR",72.34,"",NA
"ESPERANZA DOS","","0172","Argentina","ALTURA,PROC.CONGELADOR",53,"",NA
"ES POSIBLE","","0966","Argentina","RADA O RIA, FRESQUERO",12.85,"",NA
"ES POSIBLE II","","0965","Argentina","RADA O RIA, FRESQUERO",12.85,"",NA
"ESTEFANY","","01583","Argentina","COSTEROS, FRESQUERO",23.6,"",NA
"ESTEIRO","","01887","Argentina","ALTURA, FRESQUERO",38.1,"",701000636
"ESTHER 153","","02058","Argentina","ALTURA,PROC.CONGELADOR",55.1,"",701000875
"ESTRELLA N° 5","","0246","Argentina","ALTURA,PROC.CONGELADOR",54.2,"",NA
"ESTRELLA N° 6","","012","Argentina","ALTURA,PROC.CONGELADOR",55.85,"",NA
"ESTRELLA Nº 11","","02575","Argentina","ALTURA,PROC.CONGELADOR",64.72,"",NA
"ESTRELLITA","","01115","Argentina","RADA O RIA, FRESQUERO",15.38,"",NA
"ETERNO SAN JOSE","","01493","Argentina","RADA O RIA, FRESQUERO",13.41,"",NA
"EURO II","","02314","Argentina","COSTEROS, FRESQUERO",20.1,"",NA
"EXPRESO OPTIMO 2","","MVDEO-6940","Uruguay","B",21.35,"Montevideo",NA
"FE EN DIOS","","01187","Argentina","COSTEROS, FRESQUERO",17.31,"",NA
"FEIXA","","0529","Argentina","ALTURA, FRESQUERO",41.5,"",701000850
"FELISITAS","","02141","Argentina","RADA O RIA, FRESQUERO",15.6,"",NA
"FELIX AUGUSTO","","0581","Argentina","ALTURA,PROC.CONGELADOR",27.8,"",NA
"FERNANDO ALVAREZ","","013","Argentina","ALTURA,PROC.CONGELADOR",36.6,"",701000658
"FIDES FE I","","01531","Argentina","COSTEROS, FRESQUERO",20.67,"",NA
"FIDES FE II","","01325","Argentina","COSTEROS, FRESQUERO",23.8,"",NA
"FIESTA","","01446","Argentina","COSTEROS, FRESQUERO",18.8,"",NA
"FLORIDABLANCA","","0969","Argentina","ALTURA, FRESQUERO",27.67,"",NA
"FLORIDABLANCA IV","","0255","Argentina","ALTURA,PROC.CONGELADOR",34.98,"",NA
"FLORIDA S-1","","MVDEO-1756","Uruguay","B",27,"Montevideo",NA
"FONSECA","","0920","Argentina","ALTURA,PROC.CONGELADOR",62.4,"",701006042
"FRANCA","","0495","Argentina","ALTURA, FRESQUERO",27.29,"",NA
"FRANCO","","01458","Argentina","ALTURA, FRESQUERO",32.53,"",NA
"FRANCO JOSE","","02984","Argentina","COSTEROS, FRESQUERO",19.94,"",NA
"FUEGUINO I","","0331","Argentina","ALTURA,PROC.CONGELADOR",52.25,"",NA
"GALA","","02722","Argentina","COSTEROS, FRESQUERO",15.2,"",NA
"GALEMAR","","0904","Argentina","ALTURA, FRESQUERO",54.4,"",NA
"GAUCHO GRANDE","","0339","Argentina","ALTURA, FRESQUERO",28.5,"",NA
"GEMINIS","","01421","Argentina","ALTURA,PROC.CONGELADOR",68.9,"",701006044
"GIARDINI","","0778","Argentina","RADA O RIA, FRESQUERO",12.15,"",NA
"GIULIANA.","","02633","Argentina","ALTURA,PROC.CONGELADOR",63.89,"",NA
"GLORIA DEL MAR I","","01983","Argentina","ALTURA,PROC.CONGELADOR",54.3,"",NA
"GLORIOSUS","","02626","Argentina","COSTEROS, FRESQUERO",16.26,"",NA
"GOLFO SAN MATIAS","","0362","Argentina","ALTURA, FRESQUERO",24.46,"",NA
"GRACIELA","","0578","Argentina","ALTURA, FRESQUERO",44.1,"",NA
"GRAN CAPITAN","","01538","Argentina","ALTURA, FRESQUERO",25.43,"",NA
"GURISES","","01386","Argentina","ALTURA, FRESQUERO",25.2,"",NA
"GUSTAVO R","","075","Argentina","ALTURA, FRESQUERO",68.3,"",NA
"HAMPON","","01410","Argentina","COSTEROS, FRESQUERO",18.99,"",NA
"HARENGUS","","0510","Argentina","ALTURA,PROC.CONGELADOR",80.75,"",701000876
"HECHICERO","","MVDEO-7788","Uruguay","B",20.9,"Montevideo",338151236
"HECHICERO","","MVDEO-7788","Uruguay","B",20.9,"Montevideo",770576142
"HOPE N°7","","0788","Argentina","ALTURA,PROC.CONGELADOR",50.6,"",NA
"HOYO MARU Nº 37","","02624","Argentina","ALTURA,PROC.CONGELADOR",64.12,"",NA
"HUAFENG 801","","03013","Argentina","ALTURA,PROC.CONGELADOR",65.04,"",NA
"HUAFENG 802","","03014","Argentina","ALTURA,PROC.CONGELADOR",65.04,"",NA
"HUA I N°616","","0392","Argentina","ALTURA,PROC.CONGELADOR",59.8,"",NA
"HUYU 906","","03026","Argentina","ALTURA,PROC.CONGELADOR",65.92,"",NA
"HUYU 907","","03027","Argentina","ALTURA,PROC.CONGELADOR",72.17,"",NA
"IGLU I","","01423","Argentina","ALTURA, FRESQUERO",32.75,"",NA
"INARI MARU N°25","","0261","Argentina","ALTURA,PROC.CONGELADOR",54.25,"",NA
"INDOMABLE","","02347","Argentina","COSTEROS, FRESQUERO",16.1,"",NA
"INDOMITO","","01484","Argentina","RADA O RIA, FRESQUERO",15.86,"",NA
"INFINITUS PEZ","","01472","Argentina","ALTURA, FRESQUERO",24.82,"",NA
"INITIO PEZ","","01471","Argentina","ALTURA, FRESQUERO",24.85,"",NA
"INSIGNIA I","","MVDEO-7285","Uruguay","B",27.15,"Montevideo",NA
"INSOLITO","","0758","Argentina","COSTEROS, FRESQUERO",22.7,"",NA
"ISLA DE CAPRI","","0903","Argentina","RADA O RIA, FRESQUERO",12.92,"",NA
"ITALIA","","0973","Argentina","RADA O RIA, FRESQUERO",14.07,"",NA
"ITXAS LUR","","0927","Argentina","ALTURA,PROC.CONGELADOR",63.3,"",701000786
"JESUS DE NAZARETH","","0710","Argentina","RADA O RIA, FRESQUERO",14.65,"",NA
"JUAN ALVAREZ","","0619","Argentina","ALTURA,PROC.CONGELADOR",36.6,"",701006059
"JUAN MARIO","","02467","Argentina","RADA O RIA, FRESQUERO",15.4,"",NA
"JUAN PABLO II","","02695","Argentina","COSTEROS, FRESQUERO",18.99,"",NA
"JUDITH I","","0908","Argentina","ALTURA, FRESQUERO",30.45,"",NA
"JUEVES SANTO","","0667","Argentina","ALTURA,PROC.CONGELADOR",39.5,"",NA
"JUPITER","","0483","Argentina","COSTEROS, FRESQUERO",24,"",701000924
"JUPITER","","0483","Argentina","COSTEROS, FRESQUERO",24,"",311028600
"JUPITER II","","0406","Argentina","ALTURA, FRESQUERO",27.9,"",NA
"KALEU KALEU","","01963","Argentina","ALTURA,PROC.CONGELADOR",36.12,"",NA
"KANTXOPE","","01065","Argentina","ALTURA, FRESQUERO",50.1,"",701000834
"KANTXOPE","","01065","Argentina","ALTURA, FRESQUERO",50.1,"",701000894
"KARINA","","01462","Argentina","ALTURA, FRESQUERO",32.53,"",NA
"KRIOS","","MVDEO-7904","Uruguay","B",21.42,"Montevideo",770576187
"LA CRUZ DEL SUD","","01902","Argentina","RADA O RIA, FRESQUERO",14.62,"",NA
"LA CRUZ DEL SUR","","01909","Argentina","RADA O RIA, FRESQUERO",17.25,"",770576104
"LA CRUZ DEL SUR","","MVDEO-7791","Uruguay","B",30.65,"Montevideo",770576104
"LAIA","","0254","Argentina","ALTURA,PROC.CONGELADOR",53,"",701000743
"LA JULIA","","01193","Argentina","RADA O RIA, FRESQUERO",13.9,"",NA
"LANZA SECA","","01181","Argentina","ALTURA, FRESQUERO",24.8,"",NA
"LA PALOMA I","","MVDEO-6093","Uruguay","B",20.85,"Montevideo",NA
